day	day_of_year	in_gr	in_sp	in_wi	month	or_gr	or_sp	or_wi	up_gr	up_ot	up_sp	up_wi	zeros
2	152	0.006024096	0	0	6	0.005555556	0	0	0.003873204	0.003873204	0.006617123	0.005892512	0
3	153	0.006024096	0	0	6	0.005555556	0	0	0.00397513	0.00397513	0.006617123	0.005994108	0
4	154	0.006024096	0	0	6	0.005555556	0	0	0.00397513	0.00397513	0.006617123	0.005994108	0
5	155	0.006024096	0	0	6	0.005555556	0	0	0.00397513	0.00397513	0.006718925	0.005994108	0
6	156	0.006024096	0	0	6	0.005555556	0	0	0.00397513	0.00397513	0.006718925	0.005994108	0
7	157	0.006024096	0	0	6	0.005555556	0	0	0.00397513	0.00397513	0.006718925	0.005994108	0
8	158	0.006024096	0	0	6	0.005555556	0	0	0.00397513	0.00397513	0.006718925	0.005994108	0
9	159	0.006024096	0	0	6	0.005555556	0	0	0.00397513	0.00397513	0.006718925	0.006095703	0
10	160	0.006024096	0	0	6	0.005555556	0	0	0.00397513	0.00397513	0.006718925	0.006095703	0
11	161	0.006024096	0	0	6	0.005555556	0	0	0.004077057	0.004077057	0.006820727	0.006095703	0
12	162	0.006024096	0	0	6	0.005555556	0	0	0.004077057	0.004077057	0.006820727	0.006095703	0
13	163	0.006024096	0	0	6	0.005555556	0	0	0.004077057	0.004077057	0.006820727	0.006095703	0
14	164	0.006024096	0	0	6	0.005555556	0	0	0.004077057	0.004077057	0.006820727	0.006095703	0
15	165	0.006024096	0	0	6	0.005555556	0	0	0.004077057	0.004077057	0.006820727	0.006095703	0
16	166	0.006024096	0	0	6	0.005555556	0	0	0.004077057	0.004077057	0.006820727	0.006197297	0
17	167	0.006024096	0	0	6	0.005555556	0	0	0.004077057	0.004077057	0.006820727	0.006197297	0
18	168	0.006024096	0	0	6	0.005555556	0	0	0.004077057	0.004077057	0.006922529	0.006197297	0
19	169	0.006024096	0	0	6	0.005555556	0	0	0.004077057	0.004077057	0.006922529	0.006197297	0
