AGCENSUS_cat,AGCENSUS_group,AGCENSUS_subclass,QID,QDesc,LU_CODE,Detailed_Class,Summary_Class
glasshouses-area-of-which-is-bedding-and-pot-plants,other-plants,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
glasshouses-area-of-which-is-hardy-nursery-stock,other-plants,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ornamental-trees,other-plants,#N/A,#N/A,#N/A,13,Other arable,Arable
other-flowers,other-plants,#N/A,#N/A,#N/A,13,Other arable,Arable
other-nursery-stock,other-plants,#N/A,#N/A,#N/A,11,Fruit,Arable
roses-and-rose-stocks,other-plants,#N/A,#N/A,#N/A,13,Other arable,Arable
shrubs,other-plants,#N/A,#N/A,#N/A,21,Grazed woodland,Other
total-bulbs-flowers-and-nursery-stock,other-plants,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
barren-sows-for-fattening,pigs,individual,316,Barren sows for fattening,#N/A,#N/A,#N/A
boars-for-service,pigs,individual,475,Boars being used for service,#N/A,#N/A,#N/A
gilts-50-kg-and-over-expected-to-be-used-for-breeding,pigs,individual,474,Gilts 50kg and over to be used for breeding,#N/A,#N/A,#N/A
gilts-in-pig,pigs,individual,320,Gilts in pig,#N/A,#N/A,#N/A
other-pigs-110-kg-and-over,pigs,individual,472,Other pigs 110kg and over,#N/A,#N/A,#N/A
other-pigs-20-kg-under-50-kg,pigs,individual,479,Other pigs 20-50kg,#N/A,#N/A,#N/A
other-pigs-20-to-50-kg,pigs,individual,479,Other pigs 20-50kg,#N/A,#N/A,#N/A
other-pigs-50-kg-under-80-kg,pigs,individual,478,Other pigs 50-80kg,#N/A,#N/A,#N/A
other-pigs-50-to-80-kg,pigs,individual,478,Other pigs 50-80kg,#N/A,#N/A,#N/A
other-pigs-80-kg-under-110-kg,pigs,individual,473,Other pigs 80-110kg,#N/A,#N/A,#N/A
other-pigs-80-to-110-kg,pigs,individual,473,Other pigs 80-110kg,#N/A,#N/A,#N/A
other-pigs-under-20-kg,pigs,individual,476,Other pigs under 20kg,#N/A,#N/A,#N/A
other-sows-for-breeding,pigs,individual,317,Other sows for breeding,#N/A,#N/A,#N/A
sows-in-pig,pigs,individual,321,Sows in pig,#N/A,#N/A,#N/A
total-pigs,pigs,total,477,Total pigs,#N/A,#N/A,#N/A
breeding-flock-cocks,poultry,individual,0,Cock,#N/A,#N/A,#N/A
breeding-flock-layer-chicks,poultry,individual,2,Females laying eggs to hatch layer chicks,#N/A,#N/A,#N/A
breeding-flock-table-chicks,poultry,individual,1,Females laying eggs to hatch table chicks,#N/A,#N/A,#N/A
broilers-and-other-table-fowls,poultry,individual,5,Broilers and other table fowls,#N/A,#N/A,#N/A
ducks,poultry,individual,278,Ducks,#N/A,#N/A,#N/A
geese,poultry,individual,279,Geese,#N/A,#N/A,#N/A
laying-flock-hens-in-1st-season,poultry,individual,469,Hens in first laying season,#N/A,#N/A,#N/A
laying-flock-moulted-hens,poultry,individual,470,Moulted hens,#N/A,#N/A,#N/A
laying-flock-pullets-for-laying,poultry,individual,3,Pullets being reared for laying,#N/A,#N/A,#N/A
other-poultry-incl-turkeys,poultry,individual,452,Turkeys,#N/A,#N/A,#N/A
other-poultry-includes-turkeys-and-guinea-fowl,poultry,individual,452,Turkeys,#N/A,#N/A,#N/A
other-poultry-including-turkeys,poultry,individual,452,Turkeys,#N/A,#N/A,#N/A
other-poultry-turkeys-geese-ducks-guinea-fowl,poultry,individual,452,Turkeys,#N/A,#N/A,#N/A
other-poultry-turkeys-guinea-fowl-etc,poultry,individual,452,Turkeys,#N/A,#N/A,#N/A
total-poultry,poultry,total,150,Total Poultry,#N/A,#N/A,#N/A
turkeys,poultry,individual,452,Turkeys,#N/A,#N/A,#N/A
breeding-ewes,sheep,individual,76,Ewes used for breeding in last season,#N/A,#N/A,#N/A
female-goats-which-have-kidded,goats,#N/A,221,Goats and kids,#N/A,#N/A,#N/A
goats-and-kids,goats,total,221,Goats and kids,#N/A,#N/A,#N/A
lambs,sheep,individual,319,Lambs,#N/A,#N/A,#N/A
other-breeding-sheep,sheep,individual,322,Other sheep aged 1 year and over for breeding,#N/A,#N/A,#N/A
other-breeding-sheep-1-year-and-over,sheep,individual,322,Other sheep aged 1 year and over for breeding,#N/A,#N/A,#N/A
other-female-goats,goats,#N/A,221,Goats and kids,#N/A,#N/A,#N/A
other-goats,goats,#N/A,221,Goats and kids,#N/A,#N/A,#N/A
other-non-breeding-sheep-1-year-and-over,sheep,individual,324,"Other sheep aged 1 year and over, other",#N/A,#N/A,#N/A
rams-for-service,sheep,individual,323,Rams to be used/expected to be used for service,#N/A,#N/A,#N/A
total-goats,goats,total,221,Goats and kids,#N/A,#N/A,#N/A
total-sheep,sheep,total,318,"Total sheep, rams and lambs",#N/A,#N/A,#N/A
blackcurrants,soft-fruit,#N/A,#N/A,#N/A,11,Fruit,Arable
blueberries,soft-fruit,#N/A,#N/A,#N/A,11,Fruit,Arable
glasshouses-area-of-which-is-blackcurrants,soft-fruit,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
glasshouses-area-of-which-is-blueberries,soft-fruit,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
glasshouses-area-of-which-is-other-fruit,soft-fruit,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
