"day" "day_of_year" "in_gr" "in_sp" "in_wi" "month" "or_gr" "or_sp" "or_wi" "up_gr" "up_ot" "up_sp" "up_wi" "zeros"
"145" 24 145 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00370000000111759 0.00370000000111759 0.00630000000819564 0.00570000009611249 0
"146" 25 146 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00370000000111759 0.00370000000111759 0.00630000000819564 0.00570000009611249 0
"147" 26 147 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00380000006407499 0.00380000006407499 0.00630000000819564 0.00570000009611249 0
"148" 27 148 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00380000006407499 0.00380000006407499 0.0063999998383224 0.00570000009611249 0
"149" 28 149 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00380000006407499 0.00380000006407499 0.0063999998383224 0.00570000009611249 0
"150" 29 150 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00380000006407499 0.00380000006407499 0.0063999998383224 0.00579999992623925 0
"151" 30 151 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00380000006407499 0.00380000006407499 0.0063999998383224 0.00579999992623925 0
"152" 31 152 0.00600000005215406 0 0 5 0.00549999997019768 0 0 0.00380000006407499 0.00380000006407499 0.0063999998383224 0.00579999992623925 0
"153" 1 153 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00380000006407499 0.00380000006407499 0.00650000013411045 0.00579999992623925 0
"154" 2 154 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00380000006407499 0.00380000006407499 0.00650000013411045 0.00579999992623925 0
"155" 3 155 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00389999989420176 0.00389999989420176 0.00650000013411045 0.0059000002220273 0
"156" 4 156 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00389999989420176 0.00389999989420176 0.00650000013411045 0.0059000002220273 0
"157" 5 157 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00389999989420176 0.00389999989420176 0.00659999996423721 0.0059000002220273 0
"158" 6 158 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00389999989420176 0.00389999989420176 0.00659999996423721 0.0059000002220273 0
"159" 7 159 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00389999989420176 0.00389999989420176 0.00659999996423721 0.0059000002220273 0
"160" 8 160 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00389999989420176 0.00389999989420176 0.00659999996423721 0.0059000002220273 0
"161" 9 161 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00389999989420176 0.00389999989420176 0.00659999996423721 0.00600000005215406 0
"162" 10 162 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00389999989420176 0.00389999989420176 0.00659999996423721 0.00600000005215406 0
"163" 11 163 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00400000018998981 0.00400000018998981 0.00669999979436398 0.00600000005215406 0
"164" 12 164 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00400000018998981 0.00400000018998981 0.00669999979436398 0.00600000005215406 0
"165" 13 165 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00400000018998981 0.00400000018998981 0.00669999979436398 0.00600000005215406 0
"166" 14 166 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00400000018998981 0.00400000018998981 0.00669999979436398 0.00600000005215406 0
"167" 15 167 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00400000018998981 0.00400000018998981 0.00669999979436398 0.00600000005215406 0
"168" 16 168 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00400000018998981 0.00400000018998981 0.00669999979436398 0.00609999988228083 0
"169" 17 169 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00400000018998981 0.00400000018998981 0.00669999979436398 0.00609999988228083 0
"170" 18 170 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00400000018998981 0.00400000018998981 0.00680000009015203 0.00609999988228083 0
"171" 19 171 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00400000018998981 0.00400000018998981 0.00680000009015203 0.00609999988228083 0
"172" 20 172 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00609999988228083 0
"173" 21 173 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00609999988228083 0
"174" 22 174 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00609999988228083 0
"175" 23 175 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00609999988228083 0
"176" 24 176 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00609999988228083 0
"177" 25 177 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00609999988228083 0
"178" 26 178 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00609999988228083 0
"179" 27 179 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00609999988228083 0
"180" 28 180 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00609999988228083 0
"181" 29 181 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00609999988228083 0
"182" 30 182 0.00600000005215406 0 0 6 0.00549999997019768 0 0 0.00410000002011657 0.00410000002011657 0.00680000009015203 0.00620000017806888 0
"183" 1 183 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00620000017806888 0
"184" 2 184 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00620000017806888 0
"185" 3 185 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00620000017806888 0
"186" 4 186 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00620000017806888 0
"187" 5 187 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00620000017806888 0
"188" 6 188 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00620000017806888 0
"189" 7 189 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00620000017806888 0
"190" 8 190 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00620000017806888 0
"191" 9 191 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00620000017806888 0
"192" 10 192 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00609999988228083 0
"193" 11 193 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00609999988228083 0
"194" 12 194 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00609999988228083 0
"195" 13 195 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00609999988228083 0
"196" 14 196 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00609999988228083 0
"197" 15 197 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00419999985024333 0.00419999985024333 0.00680000009015203 0.00609999988228083 0
"198" 16 198 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00430000014603138 0.00430000014603138 0.00680000009015203 0.00609999988228083 0
"199" 17 199 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00430000014603138 0.00430000014603138 0.00680000009015203 0.00609999988228083 0
"200" 18 200 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00430000014603138 0.00430000014603138 0.00680000009015203 0.00609999988228083 0
"201" 19 201 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00430000014603138 0.00430000014603138 0.00680000009015203 0.00609999988228083 0
"202" 20 202 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00430000014603138 0.00430000014603138 0.00680000009015203 0.00609999988228083 0
"203" 21 203 0.00600000005215406 0 0 7 0.00549999997019768 0 0 0.00430000014603138 0.00430000014603138 0.00669999979436398 0.00609999988228083 0
